campaign_id,campaign_name,category,channel,start_date,end_date,budget,actual_spend,impressions,clicks,conversions
CMP0001,2024年1月 美容・健康 テレビCMキャンペーン,美容・健康,テレビCM,2024-01-02,2024-02-15,2000000,1784966.0,309329,10474,913
CMP0002,2024年2月 食品 店頭プロモーションキャンペーン,食品,店頭プロモーション,2024-02-08,2024-03-10,3000000,2546778.0,265837,20051,1864
CMP0003,2024年3月 美容・健康 店頭プロモーションキャンペーン,美容・健康,店頭プロモーション,2024-03-05,2024-04-12,1500000,1559416.0,255542,15626,1461
CMP0004,2024年4月 衣料品 雑誌広告キャンペーン,衣料品,雑誌広告,2024-04-10,2024-05-25,1500000,1270454.0,241818,15691,637
CMP0005,2024年5月 食品 メールマーケティングキャンペーン,食品,メールマーケティング,2024-05-07,2024-06-09,1000000,933939.0,116878,4569,452
CMP0006,2024年6月 家電 検索広告キャンペーン,家電,検索広告,2024-06-01,2024-06-28,1500000,1323270.0,136506,4676,444
CMP0007,2024年7月 美容・健康 メールマーケティングキャンペーン,美容・健康,メールマーケティング,2024-07-06,2024-08-19,500000,500261.0,55803,1757,58
CMP0008,2024年8月 衣料品 メールマーケティングキャンペーン,衣料品,メールマーケティング,2024-08-04,2024-09-06,1000000,793375.0,97625,6400,648
CMP0009,2024年9月 美容・健康 メールマーケティングキャンペーン,美容・健康,メールマーケティング,2024-09-05,2024-10-16,1500000,1296707.0,142409,7699,591
CMP0010,2024年10月 家電 SNS広告キャンペーン,家電,SNS広告,2024-10-04,2024-11-06,3000000,3036820.0,203966,7439,754
CMP0011,2024年11月 家電 テレビCMキャンペーン,家電,テレビCM,2024-11-07,2024-12-22,800000,705272.0,107815,7296,564
CMP0012,2024年12月 家電 テレビCMキャンペーン,家電,テレビCM,2024-12-03,2025-01-11,1000000,828364.0,109071,2284,118
CMP0013,2025年2月 スポーツ テレビCMキャンペーン,スポーツ,テレビCM,2025-02-01,2025-03-08,3000000,2992226.0,332262,20610,1537
CMP0014,2025年3月 衣料品 雑誌広告キャンペーン,衣料品,雑誌広告,2025-03-03,2025-04-08,3000000,3017309.0,375510,20428,809
CMP0015,2025年4月 衣料品 検索広告キャンペーン,衣料品,検索広告,2025-04-06,2025-05-10,1000000,971359.0,149095,3746,409
CMP0016,2025年5月 衣料品 検索広告キャンペーン,衣料品,検索広告,2025-05-09,2025-05-31,800000,806615.0,68167,3220,350
CMP0017,2025年6月 家電 メールマーケティングキャンペーン,家電,メールマーケティング,2025-06-08,2025-07-09,1500000,1207077.0,197414,15110,957
CMP0018,2025年8月 スポーツ 検索広告キャンペーン,スポーツ,検索広告,2025-08-10,2025-08-30,2000000,1966057.0,382866,18695,1138
CMP0019,2025年9月 美容・健康 検索広告キャンペーン,美容・健康,検索広告,2025-09-05,2025-10-08,500000,443413.0,57166,1378,112
CMP0020,2025年11月 衣料品 テレビCMキャンペーン,衣料品,テレビCM,2025-11-09,2025-12-08,800000,761324.0,86072,3144,247
CMP0021,2025年12月 美容・健康 店頭プロモーションキャンペーン,美容・健康,店頭プロモーション,2025-12-07,2026-01-10,1000000,948889.0,102472,4754,328
