product_id,product_name,category,subcategory,unit_price,cost_price
P0001,スマートフォン プレミアム,家電,スマートフォン,91800,41800.0
P0002,スマートフォン スタンダード,家電,スマートフォン,104500,57200.0
P0003,タブレット プレミアム,家電,タブレット,12200,6400.0
P0004,タブレット スタンダード,家電,タブレット,11500,5200.0
P0005,ノートPC プレミアム,家電,ノートPC,85200,51300.0
P0006,ノートPC スタンダード,家電,ノートPC,99500,45200.0
P0007,イヤホン プレミアム,家電,イヤホン,108100,45800.0
P0008,イヤホン スタンダード,家電,イヤホン,119100,48900.0
P0009,スマートウォッチ プレミアム,家電,スマートウォッチ,68200,36700.0
P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,116700,52300.0
P0011,メンズトップス プレミアム,衣料品,メンズトップス,3500,1700.0
P0012,メンズトップス スタンダード,衣料品,メンズトップス,9600,4500.0
P0013,レディーストップス プレミアム,衣料品,レディーストップス,14000,6300.0
P0014,レディーストップス スタンダード,衣料品,レディーストップス,25000,14000.0
P0015,ボトムス プレミアム,衣料品,ボトムス,10000,4700.0
P0016,ボトムス スタンダード,衣料品,ボトムス,24500,11800.0
P0017,アウター プレミアム,衣料品,アウター,3800,1800.0
P0018,アウター スタンダード,衣料品,アウター,4200,2000.0
P0019,シューズ プレミアム,衣料品,シューズ,18400,8600.0
P0020,シューズ スタンダード,衣料品,シューズ,20400,11100.0
P0021,スナック菓子 プレミアム,食品,スナック菓子,900,500.0
P0022,スナック菓子 スタンダード,食品,スナック菓子,2000,1100.0
P0023,飲料 プレミアム,食品,飲料,1100,500.0
P0024,飲料 スタンダード,食品,飲料,700,500.0
P0025,健康食品 プレミアム,食品,健康食品,1600,700.0
P0026,健康食品 スタンダード,食品,健康食品,400,200.0
P0027,インスタント食品 プレミアム,食品,インスタント食品,1200,800.0
P0028,インスタント食品 スタンダード,食品,インスタント食品,1900,900.0
P0029,調味料 プレミアム,食品,調味料,1300,700.0
P0030,調味料 スタンダード,食品,調味料,400,300.0
P0031,フィットネス用品 プレミアム,スポーツ,フィットネス用品,38700,16300.0
P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,36400,15700.0
P0033,アウトドア プレミアム,スポーツ,アウトドア,12300,6600.0
P0034,アウトドア スタンダード,スポーツ,アウトドア,36800,21500.0
P0035,ランニング プレミアム,スポーツ,ランニング,26000,16200.0
P0036,ランニング スタンダード,スポーツ,ランニング,16200,7900.0
P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,15900,6700.0
P0038,チームスポーツ スタンダード,スポーツ,チームスポーツ,5900,3600.0
P0039,水泳 プレミアム,スポーツ,水泳,19800,10300.0
P0040,水泳 スタンダード,スポーツ,水泳,38900,20200.0
P0041,スキンケア プレミアム,美容・健康,スキンケア,3900,1700.0
P0042,スキンケア スタンダード,美容・健康,スキンケア,7500,3900.0
P0043,ヘアケア プレミアム,美容・健康,ヘアケア,1800,900.0
P0044,ヘアケア スタンダード,美容・健康,ヘアケア,3900,2100.0
P0045,サプリメント プレミアム,美容・健康,サプリメント,8400,3900.0
P0046,サプリメント スタンダード,美容・健康,サプリメント,2400,1000.0
P0047,メイクアップ プレミアム,美容・健康,メイクアップ,3500,1800.0
P0048,メイクアップ スタンダード,美容・健康,メイクアップ,1800,800.0
P0049,フレグランス プレミアム,美容・健康,フレグランス,5500,2800.0
P0050,フレグランス スタンダード,美容・健康,フレグランス,3300,1500.0
